TopRatingID,id,host_id,host_is_superhost,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,amenities,price,availability_365,number_of_reviews,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy,reviews_per_month,bedrooms
18,15484442,79178051,t,2,f,Granada Hills,34.30112778,-118.5056178,House,Private room,"{Internet,""Wireless Internet"",""Air conditioning"",""Wheelchair accessible"",Pool,""Free parking on premises"",""Pets allowed"",""Pets live on this property"",Heating,""Family/kid friendly"",""Smoke detector"",""First aid kit"",""Fire extinguisher"",""translation missing: en.hosting_amenity_50""}",$45.00 ,365,1,10,10,2,flexible,0.16,1
19,14576133,90313325,f,3,f,Hollywood Hills,34.11120233,-118.3351346,Apartment,Private room,"{TV,Internet,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",Gym,Breakfast,""Elevator in building"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50""}",$42.00 ,364,1,2,2,2,flexible,0.12,1
20,15718401,101535517,f,1,f,Highland Park,34.11649135,-118.2091357,House,Private room,"{Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets allowed"",""Pets live on this property"",""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo}",$80.00 ,365,1,2,,,flexible,0.25,1
21,13953635,3236905,f,2,f,Hollywood Hills West,34.1156844,-118.3812338,House,Private room,"{TV,Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",""Pets allowed"",Breakfast,""Pets live on this property"",Dog(s),""Indoor fireplace"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self Check-In"",""Doorman Entry"",""Private entrance"",""Fireplace guards"",""Room-darkening shades"",""Game console""}",$165.00 ,365,1,2,8,2,strict,0.19,1
22,16005522,103377380,f,1,f,Inglewood,33.96388683,-118.3462066,Apartment,Entire home/apt,"{""Family/kid friendly""}",$65.00 ,0,2,10,2,2,flexible,0.42,1
23,6925142,24767923,f,1,t,Inglewood,33.97441779,-118.3684791,Apartment,Private room,"{TV,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Heating,""Family/kid friendly"",Washer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",Essentials,Shampoo}",$74.00 ,87,1,2,6,2,flexible,0.05,1
24,13905605,35660072,f,10,t,La Habra Heights,33.96220544,-117.9271384,Villa,Private room,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Hot tub"",""Indoor fireplace"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""24-hour check-in"",Hangers,""Hair dryer"",""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$80.00 ,365,1,6,2,2,moderate,0.11,1
25,13156996,70979057,f,1,t,Malibu,34.02324275,-118.7903241,Townhouse,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Pets allowed"",Breakfast,""Pets live on this property"",Dog(s),Cat(s),""Hot tub"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",$499.00 ,178,1,4,,,strict,0.13,3
26,14554983,90110652,f,1,t,Malibu,34.04499376,-118.8510258,House,Entire home/apt,"{TV,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Indoor fireplace"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",Essentials}","$1,500.00 ",87,1,2,4,2,moderate,0.14,4
27,15421058,94128650,f,16,f,Mid-City,34.04773132,-118.3760538,House,Shared room,"{""Wireless Internet"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Hangers,""Hair dryer"",Iron}",$25.00 ,365,1,6,,,strict,0.16,1
28,17078757,84931464,f,1,t,Mid-Wilshire,34.06756633,-118.349801,Apartment,Entire home/apt,"{TV,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Pets allowed"",Gym,""Elevator in building"",""Hot tub"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",Essentials,Shampoo,""Lock on bedroom door"",Hangers}",$100.00 ,0,1,10,10,2,strict,0.45,1
29,14319922,19635408,f,2,t,North Hollywood,34.16898942,-118.3729146,Apartment,Private room,{},$53.00 ,365,1,,,,flexible,0.39,1
30,17869087,19101705,f,1,t,Monterey Park,34.06856151,-118.1336262,Apartment,Private room,"{""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Elevator in building"",""Hot tub"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$70.00 ,90,2,2,7,2,moderate,1.82,1
31,5631470,5552452,f,1,t,Mount Washington,34.10598662,-118.2164242,House,Private room,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",""Wheelchair accessible"",Kitchen,""Free parking on premises"",""Pets allowed"",""Indoor fireplace"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Fire extinguisher"",Essentials,Shampoo}",$89.00 ,365,1,2,2,2,flexible,0.04,1
32,16181951,105662796,f,1,f,Palmdale,34.57502545,-118.0971347,Apartment,Private room,"{Internet,""Wireless Internet"",""Air conditioning"",Kitchen,Breakfast,""Pets live on this property"",Dog(s),Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron}",$40.00 ,0,1,2,2,2,flexible,0.45,1
33,7790855,41004278,f,1,f,Palms,34.01588692,-118.4187284,Apartment,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,Gym,""Elevator in building"",""Hot tub"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Essentials,Shampoo}",$130.00 ,0,1,2,2,2,flexible,0.05,1
34,10803131,22386213,f,6,t,Palms,34.01950776,-118.4153616,Apartment,Shared room,{},$30.00 ,121,1,,,,flexible,0.07,1
35,12899996,70659793,f,1,f,Pico-Robertson,34.05553579,-118.3767676,Apartment,Entire home/apt,"{TV,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",""Elevator in building"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Lock on bedroom door"",""Laptop friendly workspace""}",$245.00 ,358,1,2,2,2,flexible,0.11,2
36,12410264,67218465,f,1,f,Pico-Robertson,34.05389354,-118.3946634,Apartment,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets allowed"",""Hot tub"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,""24-hour check-in"",Hangers}",$180.00 ,0,2,2,10,4,strict,0.17,2
37,9617789,49759874,f,1,t,Reseda,34.18979015,-118.5485484,Apartment,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Kitchen,Gym,Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo}",$55.00 ,0,1,6,10,4,flexible,0.06,1
38,16268440,70272378,f,1,f,Rowland Heights,33.98710382,-117.900563,Apartment,Entire home/apt,"{Internet,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo}",$120.00 ,304,2,4,6,2,flexible,1.03,2
39,16393079,107386652,f,1,f,Rowland Heights,33.9897753,-117.9175767,Apartment,Entire home/apt,"{""Family/kid friendly""}",$100.00 ,365,1,2,,,strict,0.22,1
40,14983931,10728953,f,27,t,Van Nuys,34.19299164,-118.4433828,House,Shared room,"{Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Indoor fireplace"",Heating,""Smoke detector"",Essentials,Shampoo,Iron}",$25.00 ,365,1,2,2,2,flexible,0.13,1
41,16175483,105602542,f,2,f,San Pedro,33.73610871,-118.2804445,Other,Private room,"{TV,Internet,""Wireless Internet"",""Air conditioning"",""Smoking allowed"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",""24-hour check-in""}",$65.00 ,179,1,2,6,6,strict,0.45,1
42,15891011,73675046,f,1,t,Santa Monica,34.0189688,-118.4879818,House,Private room,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Pets allowed"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",$120.00 ,89,1,,,,flexible,0.24,1
43,9095960,47423918,f,1,t,Santa Monica,34.02351129,-118.4927983,Apartment,Private room,"{TV,Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",""Buzzer/wireless intercom"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Safety card"",Essentials,Shampoo,Iron}",$32.00 ,0,2,2,2,2,flexible,0.11,1
44,15604351,6727787,f,19,t,Sherman Oaks,34.16596855,-118.4425397,Apartment,Entire home/apt,"{TV,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Smoking allowed"",Gym,""Elevator in building"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Laptop friendly workspace""}",$130.00 ,121,1,2,8,6,strict,0.24,2
45,12308959,47211602,f,20,f,Studio City,34.13597313,-118.3872976,House,Private room,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron}",$89.00 ,365,1,4,2,2,strict,0.08,1
46,17903287,93575992,f,1,f,West Covina,34.07177079,-117.8722296,Apartment,Private room,"{Internet,""Wireless Internet"",""Air conditioning"",Pool,""Free parking on premises"",Gym,""Hot tub"",""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",Bathtub}",$45.00 ,188,1,4,4,4,moderate,1,1
47,17212078,26385598,f,1,t,Westchester,33.97498156,-118.3804519,Apartment,Private room,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,Gym,Breakfast,""Elevator in building"",""Hot tub"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Safety card"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,Iron}",$52.00 ,177,1,2,2,2,strict,1,1
48,13003754,31871797,f,7,t,West Hollywood,34.0869878,-118.3793891,Villa,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Pets allowed"",""Hot tub"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",$299.00 ,128,1,2,6,2,strict,0.65,3
49,3264791,16509619,f,1,t,Westwood,34.06291633,-118.4520881,Apartment,Private room,"{Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Elevator in building"",""Hot tub"",Heating,""Smoke detector"",""Carbon monoxide detector"",Essentials}",$46.00 ,0,1,8,2,2,flexible,0.04,1
50,17027309,48025349,f,1,t,Woodland Hills,34.17994185,-118.6098207,House,Private room,"{""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Gym,""Hot tub"",""Indoor fireplace"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private living room""}",$65.00 ,41,1,4,6,2,flexible,0.41,1
51,16076835,43955786,f,12,t,Hollywood Hills,34.11690521,-118.3429199,House,Shared room,"{TV,Internet,""Wireless Internet"",""Air conditioning"",""Wheelchair accessible"",Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets allowed"",Breakfast,""Pets live on this property"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",$40.00 ,362,3,5,9,3,strict,1.23,1
52,3111809,15813363,f,1,f,Hollywood,34.08495223,-118.3119905,House,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",Breakfast,""Pets live on this property"",Dog(s),Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo}",$135.00 ,365,2,6,4,4,flexible,0.08,1
53,7418369,38768792,f,3,t,Palms,34.023581,-118.4031664,Apartment,Private room,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Pets live on this property"",Dog(s),Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,""24-hour check-in"",Hangers,Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$110.00 ,365,2,9,10,4,strict,0.1,1
54,1864277,5281907,f,7,f,Van Nuys,34.19512244,-118.4523876,Apartment,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets allowed"",Heating,""Family/kid friendly"",Washer,Dryer}",$121.00 ,340,3,7,5,4,moderate,0.07,2
55,4708239,15973150,f,1,f,University Park,34.03251722,-118.2823794,House,Private room,"{""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",Heating,""Smoke detector"",Essentials}",$20.00 ,0,2,8,5,5,flexible,0.07,1
56,15112976,95746389,f,1,f,Valley Glen,34.18280796,-118.4341295,Cabin,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Smoking allowed"",Heating,Washer,Dryer,Hangers,Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$70.00 ,0,2,5,7,3,flexible,0.27,1
57,18096795,47502835,f,1,t,Westchester,33.9730041,-118.3769196,Apartment,Private room,"{TV,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Elevator in building"",""Hot tub"",""Indoor fireplace"",Heating,Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$80.00 ,355,2,8,6,3,flexible,2,1
58,16167346,57461629,f,3,f,Beverly Grove,34.07351819,-118.3695771,Other,Entire home/apt,"{TV,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",""Family/kid friendly"",""Smoke detector"",Shampoo,Hangers,""translation missing: en.hosting_amenity_49""}",$102.00 ,365,5,4,7,3,strict,1.05,2
59,13530305,52054569,f,1,t,Bellflower,33.87002243,-118.1463625,House,Private room,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Pets live on this property"",Heating,Washer,Dryer}",$40.00 ,364,1,10,10,8,moderate,0.11,1
60,17747786,21940642,f,50,t,Beverly Grove,34.07635542,-118.3748494,House,Shared room,"{""Wireless Internet"",Kitchen,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$35.00 ,163,1,10,6,6,flexible,0.83,1
61,13770113,25551648,t,36,t,Beverly Grove,34.0673876,-118.3697246,House,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Pets allowed"",""Hot tub"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}","$1,000.00 ",364,1,6,8,8,moderate,0.11,4
62,1696822,8960834,f,1,f,Culver City,34.0160705,-118.3936196,Guesthouse,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Heating,Washer,Dryer,Essentials,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$120.00 ,365,1,6,10,2,flexible,0.12,1
63,16831523,52488669,f,1,f,Downtown,34.05493444,-118.251195,Apartment,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Pets allowed"",Gym,""Elevator in building"",""Hot tub"",""Indoor fireplace"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",""Laptop friendly workspace""}",$170.00 ,153,2,7,9,5,flexible,0.58,1
64,9997542,49754887,f,9,t,Hollywood,34.08603875,-118.3436493,House,Private room,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Pets allowed"",Heating,""Family/kid friendly"",""Smoke detector"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",$69.00 ,365,2,6,7,4,strict,0.12,1
65,13882298,46892518,f,1,f,Del Rey,33.98991977,-118.4381866,House,Private room,"{""Wireless Internet"",Kitchen,Heating,""Smoke detector"",Essentials,""Lock on bedroom door"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$75.00 ,0,1,2,6,,flexible,0.12,1
66,10236205,51554460,f,2,t,El Monte,34.0964647,-118.0169201,Villa,Private room,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Hot tub"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials}",$75.00 ,364,2,10,6,4,moderate,0.12,1
67,3655131,10998487,f,1,t,East Hollywood,34.09514631,-118.2915239,Apartment,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Kitchen,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,""Hair dryer"",""Laptop friendly workspace"",""Room-darkening shades""}",$79.00 ,16,2,7,10,5,strict,0.21,1
68,3572321,9488470,f,5,f,Hacienda Heights,34.01014302,-117.9973946,House,Private room,{},$50.00 ,365,1,4,8,2,flexible,0.04,1
69,7859270,41312583,f,1,t,Hawthorne,33.92201333,-118.3637023,House,Private room,"{""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",Gym,""Indoor fireplace"",Washer,Dryer,""Smoke detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$45.00 ,365,1,4,4,4,flexible,0.11,1
